Season,Match,Y/M/D,Pool,Phase,City,Country,Team,VS_Team,SET_Won,SET_Lost,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,Player No,Player Name,C,Position,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,SCORING_Efficiency %,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,ATTACK_Efficiency %,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,BLOCK_Efficiency %,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,SERVE_Efficiency %,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,RECEPTION_Efficiency %,DIG_Digs,DIG_Errors,DIG_Total,DIG_Efficiency %,SET_Point,SET_Errors,SET_Attempts,SET_Total,SET_Efficiency %
2025,1,2025/8/22,D,Preliminary,Nakhon Ratchasima,Thailand,Czechia,Argentina,1,3,25,23,17,24,-,18,25,25,26,-,3,10,Valkova ,-,S,0,0,0,0,-,-16.67,0,0,0,0,-,0,1,0,1,-100,0,0,5,5,0,0,0,0,0,-,0,0,1,0,10,1,26,37,24.32
2025,1,2025/8/22,D,Preliminary,Nakhon Ratchasima,Thailand,Czechia,Argentina,1,3,25,23,17,24,-,18,25,25,26,-,3,11,Dostalova ,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2025,1,2025/8/22,D,Preliminary,Nakhon Ratchasima,Thailand,Czechia,Argentina,1,3,25,23,17,24,-,18,25,25,26,-,3,15,Jehlarova ,-,MB,3,3,0,0,-,-10,3,1,2,6,33.33,0,3,0,3,-100,0,0,1,1,0,0,1,0,1,-100,1,0,2,50,0,0,0,0,-
2025,1,2025/8/22,D,Preliminary,Nakhon Ratchasima,Thailand,Czechia,Argentina,1,3,25,23,17,24,-,18,25,25,26,-,3,16,Mlejnkova,C,OH,3,2,1,0,-,37.5,2,0,1,3,66.67,1,0,2,3,33.33,0,0,2,2,0,1,0,3,4,25,7,1,10,60,0,0,1,1,0
2025,1,2025/8/22,D,Preliminary,Nakhon Ratchasima,Thailand,Czechia,Argentina,1,3,25,23,17,24,-,18,25,25,26,-,3,17,Dite ,-,OH,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2025,1,2025/8/22,D,Preliminary,Nakhon Ratchasima,Thailand,Czechia,Argentina,1,3,25,23,17,24,-,18,25,25,26,-,3,20,Grabovska ,-,S,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,1,2,-50,4,0,3,7,57.14
2025,1,2025/8/22,D,Preliminary,Nakhon Ratchasima,Thailand,Czechia,Argentina,1,3,25,23,17,24,-,18,25,25,26,-,3,25,Brancuska ,-,O,2,2,0,0,-,-5.88,2,1,9,12,8.33,0,2,1,3,-66.67,0,0,2,2,0,0,0,0,0,-,3,1,5,40,0,0,0,0,-
2025,1,2025/8/22,D,Preliminary,Nakhon Ratchasima,Thailand,Czechia,Argentina,1,3,25,23,17,24,-,18,25,25,26,-,4,1,Kneiflova ,-,MB,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2025,1,2025/8/22,D,Preliminary,Nakhon Ratchasima,Thailand,Czechia,Argentina,1,3,25,23,17,24,-,18,25,25,26,-,4,4,Pavlova ,-,MB,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2025,1,2025/8/22,D,Preliminary,Nakhon Ratchasima,Thailand,Czechia,Argentina,1,3,25,23,17,24,-,18,25,25,26,-,4,5,Svobodova ,-,OH,3,2,1,0,-,-4.35,2,3,8,13,-7.69,1,1,4,6,0,0,0,4,4,0,1,0,0,1,100,3,1,5,40,0,0,0,0,-
2025,1,2025/8/22,D,Preliminary,Nakhon Ratchasima,Thailand,Czechia,Argentina,1,3,25,23,17,24,-,18,25,25,26,-,4,6,Grozer ,-,OH,3,3,0,0,-,-4.35,3,1,9,13,15.38,0,2,1,3,-66.67,0,1,6,7,-14.29,1,0,2,3,33.33,2,0,3,66.67,0,0,2,2,0
2025,1,2025/8/22,D,Preliminary,Nakhon Ratchasima,Thailand,Czechia,Argentina,1,3,25,23,17,24,-,18,25,25,26,-,4,7,Bukovska ,-,OH,6,5,1,0,-,11.11,5,2,5,12,25,1,1,1,3,0,0,1,2,3,-33.33,3,0,7,10,30,2,1,6,16.67,0,0,1,1,0
2025,1,2025/8/22,D,Preliminary,Nakhon Ratchasima,Thailand,Czechia,Argentina,1,3,25,23,17,24,-,18,25,25,26,-,4,8,Koulisiani ,-,MB,1,0,0,1,-,-10,0,0,3,3,0,0,1,2,3,-33.33,1,1,2,4,0,0,0,1,1,0,2,0,4,50,0,0,0,0,-
2025,1,2025/8/22,D,Preliminary,Nakhon Ratchasima,Thailand,Czechia,Argentina,1,3,25,23,17,24,-,18,25,25,26,-,4,9,Digrinova ,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,1,0,2,3,33.33,9,1,12,66.67,0,0,4,4,0
2025,1,2025/8/22,D,Preliminary,Nakhon Ratchasima,Thailand,Czechia,Argentina,1,3,25,23,17,24,-,18,25,25,26,-,4,10,Valkova ,-,S,3,2,0,1,-,50,2,0,0,2,100,0,0,1,1,0,1,0,2,3,33.33,0,0,0,0,-,3,0,5,60,18,1,28,47,36.17
2025,1,2025/8/22,D,Preliminary,Nakhon Ratchasima,Thailand,Czechia,Argentina,1,3,25,23,17,24,-,18,25,25,26,-,4,11,Dostalova ,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2025,1,2025/8/22,D,Preliminary,Nakhon Ratchasima,Thailand,Czechia,Argentina,1,3,25,23,17,24,-,18,25,25,26,-,4,15,Jehlarova ,-,MB,2,2,0,0,-,0,2,0,2,4,50,0,1,4,5,-20,0,1,2,3,-33.33,0,0,1,1,0,3,0,3,100,0,0,0,0,-
2025,1,2025/8/22,D,Preliminary,Nakhon Ratchasima,Thailand,Czechia,Argentina,1,3,25,23,17,24,-,18,25,25,26,-,4,16,Mlejnkova,C,OH,0,0,0,0,-,-25,0,0,3,3,0,0,1,0,1,-100,0,0,0,0,-,0,0,3,3,0,0,0,0,-,0,0,0,0,-
2025,1,2025/8/22,D,Preliminary,Nakhon Ratchasima,Thailand,Czechia,Argentina,1,3,25,23,17,24,-,18,25,25,26,-,4,17,Dite ,-,OH,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2025,1,2025/8/22,D,Preliminary,Nakhon Ratchasima,Thailand,Czechia,Argentina,1,3,25,23,17,24,-,18,25,25,26,-,4,20,Grabovska ,-,S,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2025,1,2025/8/22,D,Preliminary,Nakhon Ratchasima,Thailand,Czechia,Argentina,1,3,25,23,17,24,-,18,25,25,26,-,4,25,Brancuska ,-,O,0,0,0,0,-,0,0,0,2,2,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,1,0,1,100,0,0,0,0,-
2025,1,2025/8/22,D,Preliminary,Nakhon Ratchasima,Thailand,Argentina,Czechia,3,1,18,25,25,26,-,25,23,17,24,-,ALL,1,Rodriguez ,-,OH,2,2,0,0,-,-4.17,2,2,13,17,0,0,0,2,2,0,0,1,4,5,-20,2,1,7,10,10,3,2,7,14.29,0,0,0,0,-
2025,1,2025/8/22,D,Preliminary,Nakhon Ratchasima,Thailand,Argentina,Czechia,3,1,18,25,25,26,-,25,23,17,24,-,ALL,3,Benitez ,-,S,0,0,0,0,-,0,0,0,1,1,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,2,0,2,100,2,0,12,14,14.29
